,transit
2468,4915
2469,3839
2470,4000
2471,3473
2472,3877
2473,3807
2474,4044
2475,4590
2476,4086
2477,4415
2478,5216
2479,5448
2480,4706
2481,4741
2482,4835
2483,5109
2484,4952
2485,5646
2486,6036
2487,6018
2488,4858
2489,5131
2490,4442
2491,4925
2492,5807
2493,5373
2494,5317
2495,5014
2496,4715
2497,6135
2498,5079
2499,4936
2500,5978
2501,6712
2502,3825
2503,0
2504,4822
2505,5092
2506,4477
2507,4602
2508,4370
2509,3816
2510,4910
2511,5102
2512,4287
2513,3750
2514,3919
2515,3912
2516,3849
2517,3434
2518,3324
2519,4302
2520,3240
2521,6375
2522,6280
2523,0
2524,4176
